Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
08733,2787.0,33.0,60556.0,24717.0,256,9.185504126300682,2349.0,190.0,23.0,0,0,106.0,119.0
08734,7907.0,43.3,86357.0,36882.0,332,4.198811179967118,7826.0,37.0,0.0,0,0,24.0,20.0
08735,3283.0,61.7,63200.0,44956.0,284,8.650624428876029,3283.0,0.0,0.0,0,0,0.0,0.0
08736,12372.0,48.2,94250.0,55065.0,662,5.350792111218881,12119.0,85.0,140.0,0,0,28.0,0.0
08738,964.0,63.5,123750.0,92818.0,35,3.6307053941908713,928.0,12.0,24.0,0,0,0.0,0.0
08740,1961.0,41.8,62857.0,29916.0,244,12.44263131055584,1912.0,49.0,0.0,0,0,0.0,0.0
08741,2591.0,40.3,86146.0,34881.0,86,3.31918178309533,2521.0,21.0,36.0,0,0,5.0,8.0
08742,24377.0,43.8,77700.0,39316.0,1636,6.711244205603643,23537.0,80.0,62.0,2,0,442.0,254.0
08750,3596.0,52.1,103875.0,65829.0,69,1.9187986651835374,3541.0,2.0,15.0,0,0,0.0,38.0
08751,4248.0,49.8,32733.0,24775.0,659,15.513182674199623,4090.0,18.0,0.0,6,0,121.0,13.0
08752,1897.0,62.7,59028.0,41314.0,92,4.849762783342119,1889.0,0.0,0.0,0,0,8.0,0.0
08753,63891.0,40.3,76202.0,34756.0,4238,6.633172121269037,58887.0,1474.0,2019.0,47,0,752.0,712.0
08755,25737.0,45.7,68109.0,36202.0,1250,4.8568209192990635,22420.0,720.0,1668.0,75,0,512.0,342.0
08757,33041.0,64.3,36595.0,25393.0,3227,9.766653551647952,29436.0,1976.0,497.0,20,0,473.0,639.0
08758,7512.0,53.6,70546.0,33778.0,507,6.7492012779552715,7138.0,17.0,0.0,0,0,119.0,238.0
08759,33033.0,69.0,35984.0,28401.0,2402,7.271516362425453,29992.0,1464.0,941.0,22,0,425.0,189.0
08801,8662.0,35.9,114050.0,45052.0,172,1.9856845993996768,6481.0,1165.0,325.0,16,0,325.0,350.0
08802,3603.0,43.3,110884.0,49471.0,167,4.635026366916459,3437.0,56.0,105.0,0,0,0.0,5.0
08804,2679.0,42.2,103190.0,45405.0,59,2.202314296379246,2608.0,16.0,9.0,0,20,16.0,10.0
08805,12340.0,35.7,67040.0,31531.0,949,7.690437601296597,9344.0,815.0,377.0,0,0,278.0,1526.0
08807,38241.0,41.4,112474.0,46495.0,1540,4.027091341753615,27316.0,1176.0,7602.0,36,10,541.0,1560.0
08808,52.0,40.3,54167.0,29587.0,4,7.6923076923076925,52.0,0.0,0.0,0,0,0.0,0.0
08809,6471.0,41.0,95201.0,38696.0,244,3.770669139236594,5193.0,702.0,280.0,0,0,155.0,141.0
08810,9163.0,37.9,108283.0,40927.0,93,1.0149514351195024,3729.0,931.0,4324.0,0,0,0.0,179.0
08812,14330.0,40.1,94562.0,41983.0,653,4.556873691556176,10727.0,856.0,1667.0,73,0,281.0,726.0
08816,46550.0,42.2,96067.0,41839.0,2223,4.775510204081633,31774.0,2001.0,11067.0,76,0,864.0,768.0
08817,44646.0,35.5,85152.0,33677.0,3276,7.337723424270932,20830.0,3537.0,17642.0,111,1,1303.0,1222.0
08820,39878.0,41.0,112073.0,46672.0,1690,4.237925673303576,13550.0,1343.0,23264.0,94,0,1292.0,335.0
08821,289.0,43.5,113250.0,44576.0,37,12.802768166089965,239.0,37.0,0.0,0,0,13.0,0.0
08822,30430.0,43.7,101922.0,47722.0,1762,5.790338481761419,27331.0,374.0,1898.0,0,194,330.0,303.0
08823,9096.0,35.7,93903.0,45929.0,273,3.0013192612137205,3134.0,2172.0,3186.0,56,0,464.0,84.0
08824,12175.0,40.0,117863.0,43935.0,422,3.46611909650924,6441.0,1385.0,4119.0,14,0,182.0,34.0
08825,4528.0,43.9,94079.0,39574.0,238,5.256183745583039,4375.0,23.0,65.0,0,0,27.0,38.0
08826,5771.0,45.9,97452.0,45198.0,275,4.765205337029977,5450.0,95.0,144.0,0,0,48.0,34.0
08827,4185.0,48.8,98400.0,42877.0,308,7.359617682198327,3897.0,29.0,137.0,16,5,70.0,31.0
08828,2360.0,40.0,78958.0,34618.0,112,4.745762711864407,2016.0,13.0,262.0,0,0,22.0,47.0
08829,3694.0,40.5,95282.0,42726.0,24,0.6497022198159177,3466.0,43.0,150.0,0,0,28.0,7.0
08830,18559.0,39.3,83581.0,33236.0,1228,6.616735815507301,7403.0,1206.0,8704.0,182,0,600.0,464.0
08831,46818.0,50.7,67676.0,42007.0,2355,5.030116621812123,38072.0,1964.0,6058.0,93,0,473.0,158.0
08832,2580.0,30.2,43900.0,21547.0,713,27.635658914728683,1096.0,527.0,113.0,0,0,126.0,718.0
08833,9039.0,47.2,135259.0,75622.0,239,2.64409779842903,8713.0,74.0,94.0,0,0,154.0,4.0
08835,10400.0,41.3,62583.0,29298.0,723,6.951923076923077,9200.0,188.0,275.0,0,0,24.0,713.0
08836,3767.0,46.3,135547.0,63833.0,101,2.6811786567560394,3116.0,103.0,513.0,0,0,14.0,21.0
08837,16030.0,38.2,74589.0,35025.0,1085,6.7685589519650655,8783.0,1114.0,5140.0,0,12,407.0,574.0
08840,16535.0,41.7,102196.0,46958.0,560,3.3867553674024795,12114.0,1248.0,2525.0,32,0,529.0,87.0
08844,38907.0,39.8,112923.0,46019.0,1462,3.757678566838872,30208.0,1968.0,5437.0,13,0,887.0,394.0
08846,13703.0,41.6,80833.0,33458.0,257,1.87550171495293,11706.0,739.0,719.0,0,0,281.0,258.0
08848,8371.0,46.3,102852.0,44983.0,157,1.8755226376776968,8101.0,98.0,37.0,31,0,100.0,4.0
08850,8274.0,42.6,97120.0,41082.0,473,5.7167029248247525,7258.0,124.0,625.0,0,0,231.0,36.0
08852,17233.0,38.1,102950.0,42303.0,570,3.3076074972436604,8605.0,1135.0,6806.0,87,0,356.0,244.0
08853,5542.0,42.9,122500.0,49686.0,74,1.335258029592205,4822.0,120.0,433.0,0,0,0.0,167.0
08854,56874.0,33.2,91164.0,32262.0,2827,4.970636846362134,23242.0,12416.0,18430.0,147,25,1682.0,932.0
08857,40271.0,40.5,92725.0,38319.0,1237,3.0716893049589036,31102.0,1940.0,5685.0,0,17,781.0,746.0
08858,170.0,66.8,79444.0,70244.0,0,0.0,170.0,0.0,0.0,0,0,0.0,0.0
08859,21594.0,38.9,79835.0,35353.0,1312,6.075761785681208,13651.0,2074.0,4983.0,9,0,447.0,430.0
08861,53415.0,33.0,45601.0,19501.0,12427,23.265000468033325,40313.0,4735.0,917.0,12,87,1337.0,6014.0
08863,12342.0,38.8,74836.0,31089.0,963,7.802625182304327,7810.0,1262.0,2557.0,36,15,199.0,463.0
08865,29824.0,40.9,55599.0,27067.0,3652,12.245171673819742,26341.0,1671.0,676.0,81,0,510.0,545.0
08867,5436.0,45.5,114174.0,49652.0,62,1.1405445180279616,5317.0,10.0,97.0,0,0,11.0,1.0
08869,7058.0,37.8,76250.0,35079.0,737,10.44205157268348,5437.0,189.0,891.0,0,0,102.0,439.0
08872,20041.0,37.7,72956.0,32666.0,1276,6.366947757097949,12847.0,3023.0,3469.0,0,0,143.0,559.0
08873,51048.0,40.0,85148.0,37985.0,3307,6.47821658047328,23979.0,14387.0,9787.0,234,34,1411.0,1216.0
08876,22268.0,39.8,89242.0,41896.0,1019,4.57607328902461,17508.0,1684.0,2058.0,23,0,357.0,638.0
08879,22974.0,40.9,72508.0,34654.0,1300,5.658570558022112,18028.0,1828.0,2467.0,14,18,394.0,225.0
08880,4584.0,35.9,71607.0,31046.0,369,8.049738219895287,3508.0,404.0,117.0,0,0,318.0,237.0
08882,16079.0,38.6,66327.0,27054.0,1683,10.467068847565146,12253.0,1339.0,675.0,136,0,540.0,1136.0
08884,8309.0,41.9,76681.0,33593.0,283,3.405945360452521,7613.0,265.0,225.0,0,0,124.0,82.0
08886,7071.0,40.9,109970.0,42475.0,212,2.998161504737661,5933.0,525.0,471.0,0,0,104.0,38.0
08887,1079.0,43.5,64205.0,39043.0,72,6.672845227062094,1001.0,33.0,31.0,0,0,0.0,14.0
08889,9934.0,44.7,124712.0,60270.0,623,6.2713911817998795,9296.0,88.0,321.0,0,0,142.0,87.0
08890,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
08901,55476.0,23.1,39901.0,14614.0,16144,29.100872449347467,37691.0,8308.0,4442.0,148,12,946.0,3929.0
08902,41774.0,36.3,81531.0,35200.0,2297,5.498635514913583,19720.0,7711.0,11058.0,133,0,730.0,2422.0
08904,14136.0,33.3,73789.0,39800.0,1632,11.544991511035654,10084.0,1141.0,2069.0,0,0,250.0,592.0
10001,21966.0,34.7,81671.0,82166.0,3375,15.364654465992897,13943.0,2363.0,3854.0,58,0,1078.0,670.0
10002,82191.0,39.8,33218.0,26227.0,23346,28.404569843413512,25545.0,6057.0,36525.0,176,15,3115.0,10758.0
10003,57310.0,32.3,92540.0,74189.0,5916,10.322805793055313,44470.0,2361.0,7705.0,164,12,1706.0,892.0
10004,2807.0,33.1,129313.0,108786.0,250,8.906305664410402,2241.0,100.0,386.0,0,0,60.0,20.0
10005,6822.0,28.6,124670.0,102849.0,724,10.612723541483437,5077.0,104.0,1441.0,2,0,113.0,85.0
10006,2507.0,31.3,119274.0,101271.0,252,10.051854806541684,1759.0,99.0,474.0,0,0,142.0,33.0
10007,6525.0,34.0,216037.0,157713.0,144,2.206896551724138,4576.0,413.0,1027.0,0,0,351.0,158.0
10009,62810.0,36.3,59929.0,43893.0,12567,20.007960515841425,37540.0,4496.0,9590.0,119,179,2056.0,8830.0
10010,30670.0,35.1,97955.0,79491.0,4204,13.707205738506683,21820.0,1820.0,4592.0,65,0,1493.0,880.0
10011,52167.0,39.7,104238.0,110631.0,4379,8.394195564245596,40683.0,2150.0,5078.0,357,0,2265.0,1634.0
10012,26145.0,34.1,86594.0,72914.0,2552,9.760948556129279,19691.0,590.0,4339.0,0,46,779.0,700.0
10013,26065.0,36.4,83725.0,90699.0,3223,12.365240744293112,14628.0,940.0,8917.0,52,13,1129.0,386.0
10014,30597.0,36.7,108483.0,106068.0,1989,6.500637317384057,26891.0,637.0,1894.0,102,0,724.0,349.0
10016,51196.0,32.8,105324.0,87986.0,4689,9.158918665520744,38341.0,1685.0,7960.0,123,0,1197.0,1890.0
10017,16129.0,37.2,100652.0,101239.0,1207,7.483414966829933,12359.0,385.0,2961.0,0,7,306.0,111.0
10018,7021.0,30.9,104635.0,75598.0,972,13.844181740492807,4125.0,465.0,1792.0,62,0,180.0,397.0
10019,38394.0,38.8,84424.0,84966.0,5013,13.056727613689638,27881.0,2525.0,5145.0,172,13,1011.0,1647.0
10020,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10021,40862.0,42.7,107907.0,120077.0,2763,6.76178356419167,36163.0,786.0,3046.0,17,64,561.0,225.0
10022,29618.0,45.3,109019.0,129778.0,1318,4.449996623674792,25263.0,614.0,2902.0,6,0,413.0,420.0
10023,61315.0,41.3,103534.0,99496.0,5316,8.669982875315991,50678.0,2094.0,6303.0,87,24,1505.0,624.0
10024,59164.0,41.8,109956.0,97633.0,3950,6.676357244270164,47916.0,4019.0,3561.0,246,0,2605.0,817.0
10025,97390.0,38.2,68516.0,55843.0,16008,16.437005852756958,64006.0,14978.0,9085.0,484,7,3020.0,5810.0
